序号,App名称,功能,DeepLink,调用方式,参数说明,介绍,备注
1,系统,SET_ALARM：设置闹钟（8:00),intent:#Intent;action=android.intent.action.SET_ALARM;i.android.intent.extra.alarm.HOUR=8;i.android.intent.extra.alarm.MINUTES=0;S.android.intent.extra.alarm.MESSAGE=TopoClaw闹钟测试;B.android.intent.extra.alarm.SKIP_UI=true;end,Intent URI,无,调用系统闹钟设置动作,部分ROM可能忽略SKIP_UI
2,系统,CALL_PHONE：直接拨打 10086,intent://10086#Intent;scheme=tel;action=android.intent.action.CALL;end,Intent URI,无,直接拨号到10086,需要CALL_PHONE权限且运行时授权
3,系统,CAMERA：打开相机拍照,intent:#Intent;action=android.media.action.IMAGE_CAPTURE;end,Intent URI,无,打开系统相机拍照页,通常停留在拍照页需用户确认
4,系统,编辑短信（10086),intent://10086#Intent;scheme=smsto;action=android.intent.action.SENDTO;S.sms_body=TopoClaw短信测试;end,Intent URI,无,打开短信编辑页并预填内容,完成编辑后需要用户手动发送
5,系统,编辑日历（日程新建),intent://com.android.calendar/events#Intent;scheme=content;action=android.intent.action.INSERT;S.title=TopoClaw日历测试;l.beginTime=1776000000000;l.endTime=1776003600000;end,Intent URI,无,打开日历新建页并预填信息,完成编辑后需要用户手动保存
6,系统,新建联系人,intent:#Intent;action=android.intent.action.INSERT;type=vnd.android.cursor.dir/contact;S.name=TopoClaw测试联系人;S.phone=13800138000;end,Intent URI,无,打开联系人新建页并预填信息,完成编辑后需要用户手动点保存
7,支付宝,扫一扫,alipayqr://platformapi/startapp?saId=10000007,Scheme Deeplink,无,打开支付宝扫一扫,
8,支付宝,付款码,alipayqr://platformapi/startapp?saId=20000056,Scheme Deeplink,无,打开支付宝付款码,
9,支付宝,收款码,alipays://platformapi/startapp?appId=20000123,Scheme Deeplink,无,打开支付宝收款码,
10,支付宝,账单,alipays://platformapi/startapp?appId=20000003,Scheme Deeplink,无,打开支付宝账单页,
11,支付宝,余额宝,alipays://platformapi/startapp?appId=20000032,Scheme Deeplink,无,打开余额宝,
12,支付宝,花呗,alipays://platformapi/startapp?appId=20000199,Scheme Deeplink,无,打开花呗页面,
13,支付宝,借呗,alipays://platformapi/startapp?appId=20000180,Scheme Deeplink,无,打开借呗页面,
14,支付宝,还信用卡,alipays://platformapi/startapp?appId=09999999,Scheme Deeplink,无,打开信用卡还款,
15,支付宝,芝麻信用,alipays://platformapi/startapp?appId=20000118,Scheme Deeplink,无,打开芝麻信用,
16,支付宝,蚂蚁森林,alipays://platformapi/startapp?appId=60000002,Scheme Deeplink,无,打开蚂蚁森林,
17,支付宝,蚂蚁庄园,alipays://platformapi/startapp?appId=66666674,Scheme Deeplink,无,打开蚂蚁庄园,
18,支付宝,蚂蚁会员,alipays://platformapi/startapp?appId=20000160,Scheme Deeplink,无,打开蚂蚁会员,
19,支付宝,手机充值,alipays://platformapi/startapp?appId=10000003,Scheme Deeplink,无,打开手机充值,
20,支付宝,生活缴费,alipays://platformapi/startapp?appId=20000193,Scheme Deeplink,无,打开生活缴费,
21,支付宝,快递查询,alipays://platformapi/startapp?appId=20000754,Scheme Deeplink,无,打开快递查询,
22,支付宝,火车票/机票,alipays://platformapi/startapp?appId=20000135,Scheme Deeplink,无,打开出行票务入口,
23,支付宝,股票,alipays://platformapi/startapp?appId=20000134,Scheme Deeplink,无,打开股票服务,
24,支付宝,记账本,alipays://platformapi/startapp?appId=20000168,Scheme Deeplink,无,打开记账本,
25,支付宝,乘车码,alipayqr://platformapi/startapp?saId=200011235,Scheme Deeplink,无,打开乘车码,
